Label,Value
Uno Mille 1.0 Fire/ F.Flex/ ECONOMY 4p,645
Uno Mille 1.0/ i.e./Electronic/Brio 2p,647
Uno Mille Celeb. WAY ECON. 1.0 F.Flex 2p,4763
Uno Mille Celeb. WAY ECON. 1.0 F.Flex 4p,4764
Uno Mille Celeb/Celeb.ECON 1.0 F.Flex 2p,4316
Uno Mille Celeb/Celeb.ECON 1.0 F.Flex 4p,4317
Uno Mille EP 2p e 4p,648
Uno Mille Grazie 1.0 Fire Flex 8v 4p,6692
Uno Mille SX 2p e 4p,650
Uno Mille SX Young 1.0 IE,651
UNO MILLE WAY ECO.XINGU 1.0 F.Flex 8v 5p,6320
Uno Mille WAY ECONOMY 1.0 F.Flex 2p,4765
Uno Mille WAY ECONOMY 1.0 F.Flex 4p,4766
Uno Mille/ Mille EX/ Smart 2p,649
Uno Mille/ Mille EX/ Smart 4p,652
Uno S 1.5 i.e. / 1.5 / 1.3/ SX 1.3,653
UNO SPORT. Dual. 1.4 B.Edit. Flex 8V 5p,7616
UNO SPORT.INTERLAGOS 1.4 EVO F.Flex 8v,6321
UNO SPORTING 1.3 Flex 8V 5p,7733
UNO SPORTING 1.4 B.Edit. Flex 8V 5p,7617
UNO SPORTING 1.4 EVO Fire Flex 8V 2p,5482
UNO SPORTING 1.4 EVO Fire Flex 8V 4p,5465
UNO SPORTING Dual./GSR 1.3 Flex 8V 5p,7734
UNO SPORTING Dualogic 1.4 EVO Flex 8V 4p,7070
Uno Turbo 1.4 i.e. 2p,654
UNO VIVACE 1.0 EVO Fire Flex 8V 3p,5483
UNO VIVACE Celeb. 1.0 EVO F. Flex 8V 3p,5484
UNO VIVACE Celeb. 1.0 EVO F.Flex 8V 5p,5242
UNO VIVACE College 1.0 EVO FireFlex 5p,6520
UNO VIVACE ITALIA 1.0 EVO F. Flex 8V 5p,7149
UNO VIVACE/RUA 1.0 EVO Fire Flex 8V 5p,5241
UNO WAY 1.0 EVO Fire Flex 8V 2p,5485
UNO WAY 1.0 EVO Fire Flex 8V 5p,5243
UNO WAY 1.0 Flex 6V 5p,7735
UNO WAY 1.3 Flex 8V 5p,7736
UNO WAY 1.4 EVO Dualogic Flex 8V 5p,7027
UNO WAY 1.4 EVO Fire Flex 8V 2p,5486
UNO WAY 1.4 EVO Fire Flex 8V 5p,5244
UNO WAY Celeb. 1.0 EVO Fire Flex 8V 2p,5487
UNO WAY Celeb. 1.0 EVO Fire Flex 8V 5p,5245
UNO WAY Celeb. 1.4 EVO Fire Flex 8V 2p,5488
UNO WAY Celeb. 1.4 EVO Fire Flex 8V 5p,5246
UNO WAY Dual./GSR 1.3 Flex 8V 5p,7737
UNO WAY RIO 450 1.0 EVO Flex 8V 5p,7183
UNO WAY XINGU 1.0 EVO F.Flex 8V 5P,6322
UNO WAY XINGU 1.4 EVO F.Flex 8V 5p,6323
