Unnamed: 0,URL,Fabricante,Modelo,Versao,Modelo_FIPE,Valor,Cidade,Ano,Combustível,Placa final,KM,Câmbio,Cor,Carroceria,Production year,Model year
21,https://www.mobiauto.com.br/comprar/carros/ba-salvador/nissan/sentra/2023/advance-2-0-16v-aut/detalhes/17039875?page=detail,Nissan,Sentra,Advance 2.0 16V Aut.,Sentra Advance 2.0 16V Aut.,119900,Salvador - BA,2022/2023,Gasolina,0,29.0,Automática,Cinza,Não,2022,2023
22,https://www.mobiauto.com.br/comprar/carros/ba-salvador/hyundai/ix35/2018/2-0l-gls-flex-aut/detalhes/19468452?page=detail,Hyundai,ix35,2.0L GLS (Flex) (Aut),ix35 2.0L GLS (Flex) (Aut),87900,Salvador - BA,2017/2018,Flex,3,114.148,Automática,Cinza,SUV,2017,2018
23,https://www.mobiauto.com.br/comprar/carros/ba-salvador/fiat/strada/2023/freedom-1-3-cd-flex/detalhes/15925467?page=detail,Fiat,Strada,Freedom 1.3 CD (Flex),Strada Freedom 1.3 CD (Flex),100900,Salvador - BA,2023/2023,Flex,6,26.0,Manual,Branco,Picapes,2023,2023
24,https://www.mobiauto.com.br/comprar/carros/ba-salvador/chevrolet/tracker/2023/1-0-turbo-aut/detalhes/17719342?page=detail,Chevrolet,Tracker,1.0 Turbo (Aut.),Tracker 1.0 Turbo (Aut.),99900,Salvador - BA,2022/2023,Flex,3,58.558,Automática,Branco,SUV,2022,2023
25,https://www.mobiauto.com.br/comprar/carros/ba-salvador/volkswagen/nivus/2024/highline-200-tsi/detalhes/18567672?page=detail,Volkswagen,Nivus,Highline 200 TSI,Nivus Highline 200 TSI,121900,Salvador - BA,2023/2024,Flex,0,18.0,Automática,Vermelho,SUV,2023,2024
26,https://www.mobiauto.com.br/comprar/carros/ba-salvador/chevrolet/onix-plus/2023/lt-1-0/detalhes/18901610?page=detail,Chevrolet,Onix Plus,LT 1.0,Onix Plus LT 1.0,69900,Salvador - BA,2023/2023,Flex,8,89.0,Manual,Branco,Sedan,2023,2023
27,https://www.mobiauto.com.br/comprar/carros/ba-salvador/jeep/compass/2022/80-anos-1-3-t270-aut-flex/detalhes/18747394?page=detail,Jeep,Compass,80 anos 1.3 T270 (Aut) (Flex),Compass 80 anos 1.3 T270 (Aut) (Flex),144900,Salvador - BA,2022/2022,Flex,1,40.447,Automática,Branco,SUV,2022,2022
28,https://www.mobiauto.com.br/comprar/carros/ba-lauro-de-freitas/honda/fit/2015/1-5-16v-ex-cvt-flex/detalhes/16881880?page=detail,Honda,Fit,1.5 16v EX CVT (Flex),Fit 1.5 16v EX CVT (Flex),62900,Lauro de Freitas - BA,2014/2015,Flex,7,117.272,CVT,Cinza,Monovolume,2014,2015
29,https://www.mobiauto.com.br/comprar/carros/ba-salvador/hyundai/hb20s/2018/1-6-comfort-plus-flex/detalhes/16644599?page=detail,Hyundai,HB20S,1.6 Comfort Plus (Flex),HB20S 1.6 Comfort Plus (Flex),59900,Salvador - BA,2018/2018,Flex,1,70.0,Manual,Prata,Sedan,2018,2018
30,https://www.mobiauto.com.br/comprar/carros/ba-salvador/renault/duster/2019/1-6-16v-expression-flex/detalhes/16644745?page=detail,Renault,Duster,1.6 16V Expression (Flex),Duster 1.6 16V Expression (Flex),69900,Salvador - BA,2019/2019,Flex,1,100.0,Manual,Preto,SUV,2019,2019
31,https://www.mobiauto.com.br/comprar/carros/ba-salvador/renault/captur/2021/life-1-6-16v-sce-cvt-flex/detalhes/16645670?page=detail,Renault,Captur,Life 1.6 16v SCe CVT (Flex),Captur Life 1.6 16v SCe CVT (Flex),76900,Salvador - BA,2021/2021,Flex,5,80.0,Automática,Bege,SUV,2021,2021
